id,bout,pop,temp,TAI,TEI,mass,opp.mass,mass.diff,sqrtTAI,sqrtTEI,cbrtTAI,cbrtTEI
pshe013,1,pshe,15,3,52,1.968,7.04,5.072,1.732050808,7.211102551,1.44224957,3.732511157
pshe009,1,pshe,15,27,3,2.371,3.28,0.909,5.196152423,1.732050808,3,1.44224957
pshe007,1,pshe,15,3,0,1.929,3.363,1.434,1.732050808,0,1.44224957,0
pshe015,1,pshe,15,15,4,2.987,7.01,4.023,3.872983346,2,2.466212074,1.587401052
pshe008,2,pshe,15,0,0,1.513,3.28,1.767,0,0,0,0
pshe011,2,pshe,15,11,1,2.533,3.363,0.83,3.31662479,1,2.223980091,1
pshe012,1,pshe,15,0,0,2.35,3.227,0.877,0,0,0,0
pshe006,1,pshe,15,49,0,2.035,2.599,0.564,7,0,3.65930571,0
pshe015,1,pshe,15,0,0,3.073,3.019,-0.054,0,0,0,0
pshe008,1,pshe,15,25,5,1.513,3.388,1.875,5,2.236067977,2.924017738,1.709975947
pshe010,1,pshe,15,21,0,3.389,2.525,-0.864,4.582575695,0,2.758924176,0
pshe011,1,pshe,15,1,6,2.533,3.165,0.632,1,2.449489743,1,1.817120593
pshe012,2,pshe,15,32,5,2.144,2.599,0.455,5.656854249,2.236067977,3.174802104,1.709975947
pshe006,2,pshe,15,21,0,1.899,3.68,1.781,4.582575695,0,2.758924176,0
pshe013,2,pshe,15,0,0,1.945,3.227,1.282,0,0,0,0
pshe009,2,pshe,15,48,4,2.371,2.525,0.154,6.92820323,2,3.634241186,1.587401052
pshe010,2,pshe,15,7,0,3.389,4.069,0.68,2.645751311,0,1.912931183,0
pshe007,2,pshe,15,6,12,1.929,3.165,1.236,2.449489743,3.464101615,1.817120593,2.289428485
pshe007,3,pshe,23,77,1,1.929,6.344,4.415,8.774964387,1,4.254320865,1
pshe011,3,pshe,23,22,3,2.533,9.863,7.33,4.69041576,1.732050808,2.802039331,1.44224957
pshe009,3,pshe,23,70,11,2.371,7.881,5.51,8.366600265,3.31662479,4.1212853,2.223980091
pshe007,4,pshe,23,51,0,1.929,7.04,5.111,7.141428429,0,3.708429769,0
pshe011,4,pshe,23,33,6,2.533,6.344,3.811,5.744562647,2.449489743,3.20753433,1.817120593
pshe009,4,pshe,23,20,4,2.371,3.363,0.992,4.472135955,2,2.714417617,1.587401052
pshe006,3,pshe,23,20,8,2.035,3.41,1.375,4.472135955,2.828427125,2.714417617,2
pshe010,3,pshe,23,14,7,3.389,2.77,-0.619,3.741657387,2.645751311,2.410142264,1.912931183
pshe013,3,pshe,23,30,41,1.945,2.599,0.654,5.477225575,6.403124237,3.107232506,3.44821724
pshe014,1,pshe,23,0,13,1.611,3.019,1.408,0,3.605551275,0,2.351334688
pshe012,3,pshe,23,0,8,2.35,3.165,0.815,0,2.828427125,0,2
pshe015,3,pshe,23,0,41,2.987,3.472,0.485,0,6.403124237,0,3.44821724
pshe006,4,pshe,23,41,2,2.035,2.77,0.735,6.403124237,1.414213562,3.44821724,1.25992105
pshe010,4,pshe,23,45,1,3.389,3.41,0.021,6.708203932,1,3.556893304,1
pshe013,4,pshe,23,20,21,1.945,3.019,1.074,4.472135955,4.582575695,2.714417617,2.758924176
pshe014,2,pshe,23,10,0,1.611,2.599,0.988,3.16227766,0,2.15443469,0
pshe012,4,pshe,23,14,25,2.35,3.68,1.33,3.741657387,5,2.410142264,2.924017738
pshe015,4,pshe,23,11,58,2.987,3.165,0.178,3.31662479,7.615773106,2.223980091,3.870876641
ptey011,1,ptey,15,31,2,2.599,1.945,-0.654,5.567764363,1.414213562,3.141380652,1.25992105
ptey008,1,ptey,15,28,0,3.28,2.371,-0.909,5.291502622,0,3.036588972,0
ptey006,1,ptey,15,9,0,3.363,1.929,-1.434,3,0,2.080083823,0
ptey011,2,ptey,15,10,4,2.599,2.987,0.388,3.16227766,2,2.15443469,1.587401052
ptey008,2,ptey,15,0,0,3.28,1.513,-1.767,0,0,0,0
ptey006,2,ptey,15,0,0,3.363,2.533,-0.83,0,0,0,0
ptey012,1,ptey,15,3,23,9.863,3.69,-6.173,1.732050808,4.795831523,1.44224957,2.84386698
ptey007,1,ptey,15,1,0,6.344,4.069,-2.275,1,0,1,0
ptey010,1,ptey,15,2,11,3.165,2.77,-0.395,1.414213562,3.31662479,1.25992105,2.223980091
ptey009,1,ptey,15,33,16,7.881,3.41,-4.471,5.744562647,4,3.20753433,2.5198421
ptey012,2,ptey,15,44,3,9.863,3.019,-6.844,6.633249581,1.732050808,3.530348335,1.44224957
ptey007,2,ptey,15,4,2,6.344,3.388,-2.956,2,1.414213562,1.587401052,1.25992105
ptey010,2,ptey,15,40,4,4.458,3.41,-1.048,6.32455532,2,3.419951893,1.587401052
ptey009,2,ptey,15,17,0,7.881,2.77,-5.111,4.123105626,0,2.571281591,0
ptey007,3,ptey,23,1,34,6.344,1.929,-4.415,1,5.830951895,1,3.239611801
ptey012,3,ptey,23,2,9,9.863,2.533,-7.33,1.414213562,3,1.25992105,2.080083823
ptey010,3,ptey,23,8,37,4.458,2.371,-2.087,2.828427125,6.08276253,2,3.332221852
ptey011,4,ptey,23,3,16,7.04,1.929,-5.111,1.732050808,4,1.44224957,2.5198421
ptey007,4,ptey,23,9,3,6.344,2.533,-3.811,3,1.732050808,2.080083823,1.44224957
ptey006,4,ptey,23,4,7,3.363,2.371,-0.992,2,2.645751311,1.587401052,1.912931183
ptey008,3,ptey,23,20,0,3.28,2.525,-0.755,4.472135955,0,2.714417617,0
ptey009,3,ptey,23,0,0,7.881,3.227,-4.654,0,0,0,0
ptey011,3,ptey,23,0,0,7.04,3.388,-3.652,0,0,0,0
ptey006,3,ptey,23,32,5,3.363,4.069,0.706,5.656854249,2.236067977,3.174802104,1.709975947
ptey009,4,ptey,23,28,6,7.881,2.525,-5.356,5.291502622,2.449489743,3.036588972,1.817120593
ptey008,4,ptey,23,36,7,3.28,3.227,-0.053,6,2.645751311,3.301927249,1.912931183
ptey012,4,ptey,23,18,11,9.863,3.388,-6.475,4.242640687,3.31662479,2.620741394,2.223980091
ptey010,4,ptey,23,5,12,4.458,4.069,-0.389,2.236067977,3.464101615,1.709975947,2.289428485
pshetey006,1,pshetey,15,0,0,3.227,2.35,-0.877,0,0,0,0
pshetey011,1,pshetey,15,1,3,2.599,2.035,-0.564,1,1.732050808,1,1.44224957
pshetey008,1,pshetey,15,0,0,3.019,2.987,-0.032,0,0,0,0
pshetey012,1,pshetey,15,21,4,3.388,1.513,-1.875,4.582575695,2,2.758924176,1.587401052
pshetey014,1,pshetey,15,15,10,2.525,3.389,0.864,3.872983346,3.16227766,2.466212074,2.15443469
pshetey010,1,pshetey,15,6,0,3.165,2.533,-0.632,2.449489743,0,1.817120593,0
pshetey011,2,pshetey,15,17,3,2.599,2.35,-0.249,4.123105626,1.732050808,2.571281591,1.44224957
pshetey015,1,pshetey,15,0,2,3.68,2.035,-1.645,0,1.414213562,0,1.25992105
